domainID,siteID,plotID,sampleID,nlcdClass,decimalLatitude,decimalLongitude,elevation,collectDate,year,month,day,dayOfYear,totalSampledArea,lifeStage,acceptedTaxonID,rawCount,estimatedCount,allSpeciesTotal
D01,BART,BART_002,BART_002.20140515,deciduousForest,44.035231,-71.274674,502.6,2014-05-15T16:35Z,2014,5,15,135,180,Adult,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140515,deciduousForest,44.035231,-71.274674,502.6,2014-05-15T16:35Z,2014,5,15,135,180,Larva,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140515,deciduousForest,44.035231,-71.274674,502.6,2014-05-15T16:35Z,2014,5,15,135,180,Nymph,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140603,deciduousForest,44.035231,-71.274674,502.6,2014-06-03T16:24Z,2014,6,3,154,170,Adult,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140603,deciduousForest,44.035231,-71.274674,502.6,2014-06-03T16:24Z,2014,6,3,154,170,Larva,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140603,deciduousForest,44.035231,-71.274674,502.6,2014-06-03T16:24Z,2014,6,3,154,170,Nymph,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140714,deciduousForest,44.035231,-71.274674,502.6,2014-07-14T18:30Z,2014,7,14,195,160,Adult,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140714,deciduousForest,44.035231,-71.274674,502.6,2014-07-14T18:30Z,2014,7,14,195,160,Larva,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140714,deciduousForest,44.035231,-71.274674,502.6,2014-07-14T18:30Z,2014,7,14,195,160,Nymph,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140806,deciduousForest,44.035231,-71.274674,502.6,2014-08-06T18:31Z,2014,8,6,218,161,Adult,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140806,deciduousForest,44.035231,-71.274674,502.6,2014-08-06T18:31Z,2014,8,6,218,161,Larva,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140806,deciduousForest,44.035231,-71.274674,502.6,2014-08-06T18:31Z,2014,8,6,218,161,Nymph,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140825,deciduousForest,44.035231,-71.274674,502.6,2014-08-25T17:53Z,2014,8,25,237,165,Adult,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140825,deciduousForest,44.035231,-71.274674,502.6,2014-08-25T17:53Z,2014,8,25,237,165,Larva,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140825,deciduousForest,44.035231,-71.274674,502.6,2014-08-25T17:53Z,2014,8,25,237,165,Nymph,IXOSCA,0,0,0
D01,BART,BART_002,BART_002.20140924,deciduousForest,44.035231,-71.274674,502.6,2014-09-24T16:15Z,2014,9,24,267,160,Adult,IXOSCA,0,0,0
