uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks,dataQF,publicationDate
052cc471-f2b6-438c-813c-0046065899e3,BART_015.tickPlot.tck,D01,BART,BART_015,distributed,mixedForest,44.042146,-71.271613,WGS84,20.3,455.2,0.5,,2014-05-15T13:45Z,BART.2014.19,,,drag and flag,160,N,0,0,0,,NEON.DOC.014045vD,D01ECM19,QC: NO ERROR No ticks found. North to Northeast stretch is challenging- many fallen trees and a slope. Proceed with caution.,legacyData,20200507T124525Z
ecdad2da-bbe4-40fa-9f70-6eea67ffca80,BART_002.tickPlot.tck,D01,BART,BART_002,distributed,deciduousForest,44.035239,-71.274681,WGS84,20.2,501.3,0.3,,2014-05-15T16:35Z,BART.2014.19,,,drag and flag,180,N,0,0,0,,NEON.DOC.014045vD,D01ECM19,QC: NO ERROR; To get to plot: take Attitash trail along the stream. Plot is on the left; one additional stream crossing required after leaving trail.,legacyData,20200507T124525Z
042a61cf-2a9e-4128-9b5c-49af455e422f,BART_011.tickPlot.tck,D01,BART,BART_011,distributed,mixedForest,44.048783,-71.295353,WGS84,20.2,399.5,0.2,,2014-06-02T18:32Z,BART.2014.22,BART_011.20140602,,drag and flag,160,Y,1,0,0,No known compromise,NEON.DOC.014045vD,D01KAK22,"",legacyData,20200507T124249Z
689c15ab-b6ed-4f7b-87f8-6022cd2737ad,BART_015.tickPlot.tck,D01,BART,BART_015,distributed,mixedForest,44.042146,-71.271613,WGS84,20.3,455.2,0.5,,2014-06-02T18:35Z,BART.2014.22,"",,drag and flag,165,N,0,0,0,"",NEON.DOC.014045vD,D01JAH27,QC: NO ERROR JH,legacyData,20200507T124249Z
e2830bd5-4d61-4a74-8f25-4fb9018ebe7f,BART_010.tickPlot.tck,D01,BART,BART_010,distributed,deciduousForest,44.0511,-71.267761,WGS84,20.3,411.9,0.4,,2014-06-03T14:06Z,BART.2014.22,"",,drag and flag,168,N,0,0,0,"",NEON.DOC.014045vD,D01JAH27,QC: NO ERROR JH,legacyData,20200507T124249Z
d59e0262-7e6f-456c-aa83-3c331fe01717,BART_002.tickPlot.tck,D01,BART,BART_002,distributed,deciduousForest,44.035239,-71.274681,WGS84,20.2,501.3,0.3,,2014-06-03T16:24Z,BART.2014.22,"",,drag and flag,170,N,0,0,0,"",NEON.DOC.014045vD,D01EME04,QC: NO ERROR JH,legacyData,20200507T124249Z
48822032-77e2-489d-b3ab-892aaf9713d9,BART_019.tickPlot.tck,D01,BART,BART_019,distributed,mixedForest,44.069348,-71.287994,WGS84,20.3,232.3,0.5,,2014-06-03T18:41Z,BART.2014.22,"",,drag and flag,172,N,0,0,0,"",NEON.DOC.014045vD,D01KAK22,Stream running through W side next to trail--and water running through trail; also stream running through E side of plot,legacyData,20200507T124249Z
85e86e16-a026-4ff2-be7b-fa0aa748083e,BART_002.tickPlot.tck,D01,BART,BART_002,distributed,deciduousForest,44.035239,-71.274681,WGS84,20.2,501.3,0.3,,2014-07-14T18:30Z,BART.2014.28,,,drag and flag,160,N,0,0,0,,NEON.DOC.014045vD,D01KMA31,QC: NO ERROR,legacyData,20200507T124244Z
4b85c2f4-91b5-4431-b1b2-bf8faa770807,BART_010.tickPlot.tck,D01,BART,BART_010,distributed,deciduousForest,44.0511,-71.267761,WGS84,20.3,411.9,0.4,,2014-07-14T18:40Z,BART.2014.28,,,drag and flag,162,N,0,0,0,,NEON.DOC.014045vD,D01BAC30,"",legacyData,20200507T124244Z
fac605fc-3a0a-4fcd-b593-6f4d951cf3f4,BART_011.tickPlot.tck,D01,BART,BART_011,distributed,mixedForest,44.048783,-71.295353,WGS84,20.2,399.5,0.2,,2014-07-14T20:06Z,BART.2014.28,,,drag and flag,167,N,0,0,0,,NEON.DOC.014045vD,D01BAC30,"",legacyData,20200507T124244Z
e8440da6-8e8d-43ba-af15-76b719ac5120,BART_019.tickPlot.tck,D01,BART,BART_019,distributed,mixedForest,44.069348,-71.287994,WGS84,20.3,232.3,0.5,,2014-07-14T21:17Z,BART.2014.28,,,drag and flag,160,N,0,0,0,,NEON.DOC.014045vD,D01BAC30,QC: NO ERROR,legacyData,20200507T124244Z
5b62dd74-5705-49de-a5da-7e5b68d53ccc,BART_015.tickPlot.tck,D01,BART,BART_015,distributed,mixedForest,44.042146,-71.271613,WGS84,20.3,455.2,0.5,,2014-07-17T20:40Z,BART.2014.28,,,drag and flag,160,N,0,0,0,,NEON.DOC.014045vD,D01KMA31,possible tick collected; determined not to be a tick in the lab,legacyData,20200507T124244Z
1f2c5705-fbe9-414a-af2a-5a464a2150b1,BART_019.tickPlot.tck,D01,BART,BART_019,distributed,mixedForest,44.069348,-71.287994,WGS84,20.3,232.3,0.5,,2014-08-06T15:38Z,BART.2014.31,,,drag and flag,160,N,0,0,0,,NEON.DOC.014045vD,D01ECM19,road running through flag/drag path that was very wet -3m; also stream running across plot -3m,legacyData,20200507T124258Z
b689178b-fe79-43e9-a6ed-fb9c185cf929,BART_015.tickPlot.tck,D01,BART,BART_015,distributed,mixedForest,44.042146,-71.271613,WGS84,20.3,455.2,0.5,,2014-08-06T17:22Z,BART.2014.31,,,drag and flag,163,N,0,0,0,,NEON.DOC.014045vD,D01EME04,"",legacyData,20200507T124258Z
5a574017-217c-4319-8380-1c73c5b2b795,BART_002.tickPlot.tck,D01,BART,BART_002,distributed,deciduousForest,44.035239,-71.274681,WGS84,20.2,501.3,0.3,,2014-08-06T18:31Z,BART.2014.31,,,drag and flag,161,N,0,0,0,,NEON.DOC.014045vD,D01EME04,QC: No error EME,legacyData,20200507T124258Z
d4c6eb30-b8bd-4407-beb7-7e700625ca05,BART_010.tickPlot.tck,D01,BART,BART_010,distributed,deciduousForest,44.0511,-71.267761,WGS84,20.3,411.9,0.4,,2014-08-06T19:54Z,BART.2014.31,,,drag and flag,163,N,0,0,0,,NEON.DOC.014045vD,D01ECM19,"",legacyData,20200507T124258Z
