uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,subsampleID,scientificName,acceptedTaxonID,taxonRank,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,identificationReferences,identificationProtocolVersion,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,dataQF,publicationDate
523acb65-6bb6-4688-9c7f-8a5bcbb265e4,BART_011.tickPlot.tck,BART_011,2014-06-02T18:32Z,2015-09-26T16:00Z,BART_011.20140602,BART_011.20140602.DERVAR.F,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Female,1,OK,90% ethanol,125415,,P.Panhorst/L. Beati,Georgia Southern University,,,20200507T124249Z
725c47f3-bcd8-41c3-9231-2b26bc005083,BART_011.tickPlot.tck,BART_011,2015-08-10T21:07Z,2016-06-22T16:00Z,BART_011.20150810,BART_011.20150810.DERVAR.N,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,1,OK,90% ethanol,125843,,L. Beati,Georgia Southern University,,,20200507T124247Z
458cedb4-50a2-4648-9dc0-620357040d43,BART_029.tickPlot.tck,BART_029,2018-06-11T18:03Z,2018-11-15T17:00Z,BART_029.20180611,BART_029.20180611.DERVAR.M,Dermacentor variabilis,DERVAR,species,Ixodidae,,,,Dermacentor,,variabilis,,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,USNMENT01482727,,Arianna Gibbs,Georgia Southern University,,,20200507T123915Z
ea671777-8081-4b6a-ba80-ba7dc4e4d360,HARV_022.tickPlot.tck,HARV_022,2014-05-06T15:05Z,2015-09-26T16:00Z,HARV_022.20140506,HARV_022.20140506.IXOSCA.M,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,125428,,P.Panhorst/L. Beati,Georgia Southern University,,,20200507T130541Z
ba9427c9-7e14-42c2-8f18-53085bfcd6ed,HARV_004.tickPlot.tck,HARV_004,2014-05-06T17:16Z,2015-09-22T16:00Z,HARV_004.20140506,HARV_004.20140506.IXOSCA.M,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,125398,,P.Panhorst/L. Beati,Georgia Southern University,,,20200507T130541Z
13974b8c-4482-420b-84a1-fdd910dc0ce8,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,HARV_026.20140602.IXOSCA.M,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"",20200507T130556Z
93e92804-6d94-4db6-97c7-aa0838bb3984,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,HARV_026.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,2,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"",20200507T130556Z
4f7cb0ff-8aa0-4bd2-b1f2-3641591c8d1e,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,HARV_026.20140602.IXOSCA.L,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Larva,1,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"",20200507T130556Z
2786dd5a-5bda-4129-b1a6-447be5e8fc76,HARV_001.tickPlot.tck,HARV_001,2014-06-02T16:10Z,2015-09-22T12:00Z,HARV_001.20140602,HARV_001.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Nymph,6,OK,95% ethanol,125393,,P.Panhorst/L. Beati,Georgia Southern University,,legacyData,20200507T130556Z
798c2447-c38a-44c5-9847-b919e37f86c0,HARV_004.tickPlot.tck,HARV_004,2014-06-02T17:34Z,2015-09-22T16:00Z,HARV_004.20140602,HARV_004.20140602.IXOSCA.M,Ixodes scapularis,IXOSCA,species,Ixodidae,,,,Ixodes,,scapularis,,,"",GSU_tickIdentification_SOP_2016-11-01.pdf,Say,Male,1,OK,90% ethanol,125399,,P.Panhorst/L. Beati,Georgia Southern University,,"",20200507T130556Z
