uid,namedLocation,plotID,collectDate,identifiedDate,sampleID,sampleCode,subsampleID,scientificName,taxonID,family,subtribe,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,identificationQualifier,scientificNameAuthorship,sexOrAge,individualCount,sampleCondition,archiveMedium,archiveFacilityID,deprecatedVialID,identifiedBy,laboratoryName,remarks,identificationReferences,identificationProtocolVersion,dataQF,publicationDate
f52f9803-619a-4e70-b38e-fa233b5fc272,BART_011.tickPlot.tck,BART_011,2014-06-02T18:32Z,2015-09-26T16:00Z,BART_011.20140602,,BART_011.20140602.DERVAR.F,Dermacentor variabilis,DERVAR,Ixodidae,,,,Dermacentor,,variabilis,,,"(Say, 1821)",Female,1,OK,90% ethanol,125415,,P.Panhorst/L. Beati,Georgia Southern University,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,,20200507T124249Z
99bec2d8-532d-4675-b507-4e09aed2b3fe,BART_011.tickPlot.tck,BART_011,2015-08-10T21:07Z,2016-06-22T16:00Z,BART_011.20150810,,BART_011.20150810.DERVAR.N,Dermacentor variabilis,DERVAR,Ixodidae,,,,Dermacentor,,variabilis,,,"(Say, 1821)",Nymph,1,OK,90% ethanol,125843,,L. Beati,Georgia Southern University,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,,20200507T124247Z
d23d0b5e-a7f4-4190-8d4d-b61333da6c0a,BART_029.tickPlot.tck,BART_029,2018-06-11T18:03Z,2018-11-15T17:00Z,BART_029.20180611,D00000006853,BART_029.20180611.DERVAR.M,Dermacentor variabilis,DERVAR,Ixodidae,,,,Dermacentor,,variabilis,,,"(Say, 1821)",Male,1,OK,90% ethanol,USNMENT01482727,,Arianna Gibbs,Georgia Southern University,,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.",GSU_tickIdentification_SOP_2016-11-01.pdf,,20200507T123915Z
25146bcb-9ba4-4cba-8438-dbe0ba729f39,HARV_022.tickPlot.tck,HARV_022,2014-05-06T15:05Z,2015-09-26T16:00Z,HARV_022.20140506,,HARV_022.20140506.IXOSCA.M,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Male,1,OK,90% ethanol,125428,,P.Panhorst/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,,20200507T130541Z
f33822f6-66a5-474d-947e-67660d14fe04,HARV_004.tickPlot.tck,HARV_004,2014-05-06T17:16Z,2015-09-22T16:00Z,HARV_004.20140506,,HARV_004.20140506.IXOSCA.M,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Male,1,OK,90% ethanol,125398,,P.Panhorst/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,,20200507T130541Z
af79f150-1f3d-4b97-8982-a41bb2c2cf49,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,,HARV_026.20140602.IXOSCA.L,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Larva,1,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
a48a59b9-1382-44b4-8d8e-db4ea1e00df2,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,,HARV_026.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Nymph,2,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
241fd758-abf2-4efd-9cd4-d010406c0084,HARV_026.tickPlot.tck,HARV_026,2014-06-02T15:03Z,2015-09-27T16:00Z,HARV_026.20140602,,HARV_026.20140602.IXOSCA.M,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Male,1,OK,90% ethanol,125440,,M. Bishof/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
4d22733f-ed70-484e-b189-06969ec76bed,HARV_001.tickPlot.tck,HARV_001,2014-06-02T16:10Z,2015-09-22T12:00Z,HARV_001.20140602,,HARV_001.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Nymph,6,OK,95% ethanol,125393,,P.Panhorst/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,legacyData,20200507T130556Z
4a11ad65-b800-4430-9880-556d314e1fdb,HARV_004.tickPlot.tck,HARV_004,2014-06-02T17:34Z,2015-09-22T16:00Z,HARV_004.20140602,,HARV_004.20140602.IXOSCA.M,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"",Male,1,OK,90% ethanol,125399,,P.Panhorst/L. Beati,Georgia Southern University,,"",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
0e76ce12-07a7-4887-b864-b54e76994d67,HARV_004.tickPlot.tck,HARV_004,2014-06-02T17:34Z,2015-09-22T16:00Z,HARV_004.20140602,,HARV_004.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"",Nymph,3,OK,90% ethanol,125399,,P.Panhorst/L. Beati,Georgia Southern University,,"",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
a0229c35-b7fb-4b41-a7f2-3bccf4c65790,HARV_022.tickPlot.tck,HARV_022,2014-06-02T18:35Z,2015-09-26T16:00Z,HARV_022.20140602,,HARV_022.20140602.IXOSCA.N,Ixodes scapularis,IXOSCA,Ixodidae,,,,Ixodes,,scapularis,,,"Say, 1821",Nymph,6,OK,90% ethanol,125429,,P.Panhorst/L. Beati,Georgia Southern University,,"Keirans, J. E., and C. M. Clifford. 1978. The genus Ixodes in the United States: a scanning electron microscope study and key to the adults. Journal of Medical Entomology, 15(Supplement 2):1-38.",GSU_tickIdentification_SOP_2016-11-01.pdf,"",20200507T130556Z
